      2010,08-SEP-10,35.0028194,-95.333575
      2010,15-NOV-10,35.7866833,-84.2726694
      2010,05-APR-10,30.6481472,-94.9449528
      2010,07-OCT-10,33.8488917,-81.0262306
      2010,07-OCT-10,33.8488917,-81.0262306
      2010,09-NOV-10, 33.000025,-80.8230694
      2010,21-JUL-10,   40.4572,-79.0174667
      2010,18-SEP-10,34.6009639,-82.6513472
      2010,07-MAY-10,31.8912222,-94.4209444
      2010,24-SEP-10,26.4034778,-98.9921167
      2010,08-DEC-10,39.9576278,-80.7623722
      2010,30-MAR-10,33.7792278,-97.1347639
      2010,16-APR-10,36.2251583,-96.597675
      2010,04-JUL-10,40.5845194,-75.6264556
      2010,26-JUL-10,40.3058472,-75.2202917
      2010,30-JUL-10,41.1243333,-75.3997361
      2010,11-AUG-10,41.4425667,-76.9857611
      2009,16-OCT-09,    38.333, -122.7264
      2010,14-MAY-10,32.3422528,-101.065836
      2010,14-NOV-10,40.9961833,-75.1617167
      2010,27-JUL-10, 32.037575,-96.4051139
      2010,30-APR-10,29.4784972,-98.2961361
      2010,20-FEB-10,32.6776194,-97.0641444
      2010,18-AUG-10,34.0424278,-97.9591528
      2010,29-JUL-10,31.2584306,-93.9880361
      2010,03-SEP-10,  32.33965,-94.9229056
      2010,18-SEP-10,29.9905694,-95.5003917
      2010,09-OCT-10,39.9830444,-75.3699944
      2010,16-DEC-10,36.2918833,-83.3995139
      2010,07-FEB-10,40.1531583,-79.4451222
      2010,15-DEC-10,40.2241583,-76.9502167
      2010,04-DEC-10,41.1332667,-77.4430611
      2010,17-AUG-10,32.4088472,-100.752367
      2010,01-OCT-10,36.1912306,-86.2565806
      2010,28-SEP-10, 43.642425,-118.628608
      2010,04-SEP-10,35.5004389,-97.8998139
      2009,18-MAR-09,   32.4357,  -87.0835
      2010,02-SEP-10,32.2663389,-95.3073306
      2010,04-FEB-10,30.2473528,-94.7351944
      2008,16-APR-08,   29.3431,  -81.1308
      2008,28-APR-08,   29.8131,  -82.5137
      2008,25-SEP-08,   33.7067, -117.8447
      2008,08-OCT-08,   37.9572, -121.3287
      2008,26-JUN-08,   41.6376,  -72.8672
      2008,07-MAR-08,   38.9727,  -75.5668
      2008,18-APR-08,   28.4844,  -80.7723
      2008,22-JUN-08,   33.6642,  -84.4977
      2008,22-AUG-08,   34.9976, -117.6127
